title,first_submission_date,source_tag,source_detail,entry_type,trust_note
"Vision-Language Navigation: A Survey and Taxonomy",2021-08-26,survey-citation,"arXiv survey seed",survey,"trusted"
"Vision-and-Language Navigation: A Survey of Tasks, Methods, and Future Directions",2022-03-22,survey-citation,"ACL/arXiv survey seed",survey,"trusted"
"Visual language navigation: a survey and open challenges",2022-03-25,survey-citation,"journal survey seed",survey,"trusted; published-online date used temporarily because no arXiv preprint is confirmed yet"
"Vision-Language Navigation with Embodied Intelligence: A Survey",2024-02-22,survey-citation,"arXiv survey candidate",survey,"withdrawn; not trusted for seeding"
"Vision-and-Language Navigation Today and Tomorrow: A Survey in the Era of Foundation Models",2024-07-09,survey-citation,"arXiv survey seed",survey,"trusted"
"A Survey of Embodied AI: From Simulators to Research Tasks",2021-03-08,survey-citation,"broader embodied survey",survey,"trusted secondary"
"Foundation Models for Embodied Navigation: A Survey",2026-03-25,survey-citation,"project-page/PDF survey",survey,"trusted secondary"
"A comprehensive review of recent advancements in vision-and-language navigation",2026-03-21,survey-citation,"journal review",survey,"trusted secondary; journal date used temporarily because no arXiv preprint is confirmed yet"
"Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments",2017-11-20,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Speaker-Follower Models for Vision-and-Language Navigation",2018-06-07,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Self-Monitoring Navigation Agent via Auxiliary Progress Estimation",2019-01-10,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Tactical Rewind: Self-Correction via Backtracking in Vision-and-Language Navigation",2019-03-06,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Learning to Navigate Unseen Environments: Back Translation with Environmental Dropout",2019-04-08,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"REVERIE: Remote Embodied Visual Referring Expression in Real Indoor Environments",2019-04-23,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Vision-and-Dialog Navigation",2019-07-10,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Just Ask: An Interactive Learning Framework for Vision and Language Navigation",2019-12-02,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments",2020-04-06,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"A Recurrent Vision-and-Language BERT for Navigation",2020-11-26,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Topological Planning with Transformers for Vision-and-Language Navigation",2020-12-09,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
